### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0_pre6 vs CMSSW_7_6_0_pre7
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.093516      -0.01%        14.18 ms/ev ->        12.91 ms/ev NjettinessAK8
   +0.093109      +0.03%        34.97 ms/ev ->        38.39 ms/ev cosmicMuons
   +0.092643      +0.01%        12.78 ms/ev ->        14.02 ms/ev TrackSeedMontobTecStep
   +0.090333      +0.01%        17.19 ms/ev ->        18.81 ms/ev gedPhotons
   +0.089524      +0.01%        10.00 ms/ev ->        10.94 ms/ev mergedDuplicateTracks
   +0.089035      +0.01%         9.75 ms/ev ->        10.66 ms/ev convStepTracks
   +0.088952      +0.02%        19.28 ms/ev ->        21.08 ms/ev TrackerCollisionSelectedTrackMonCommongeneralTracks
   +0.088671      +0.01%         6.54 ms/ev ->         7.15 ms/ev particleFlowEGamma
   +0.087450      +0.01%        13.31 ms/ev ->        14.53 ms/ev generalTracks
   -0.087401      -0.03%        45.90 ms/ev ->        42.06 ms/ev stripPairElectronSeeds
   +0.087146      +0.00%         5.27 ms/ev ->         5.75 ms/ev muonsFromCosmics
   +0.083288      +0.03%        36.89 ms/ev ->        40.10 ms/ev earlyGeneralTracks
   +0.076207      +0.00%         4.91 ms/ev ->         5.30 ms/ev dedxTruncated40
   +0.075732      +0.02%        24.58 ms/ev ->        26.52 ms/ev mixedTripletStepSeedsB
   +0.072549      +0.02%        30.53 ms/ev ->        32.82 ms/ev pfCandidateToVertexAssociation
   +0.072163      +0.01%        15.43 ms/ev ->        16.58 ms/ev CSCHaloData
   +0.071032      +0.01%        21.82 ms/ev ->        23.43 ms/ev pfNoPileUp
   +0.070592      +0.00%         5.77 ms/ev ->         6.19 ms/ev SingleTopSingleMuonHLTOfflineDQM
   +0.070317      +0.01%        21.86 ms/ev ->        23.45 ms/ev pfNoPileUpIso
   +0.068044      +0.03%        48.52 ms/ev ->        51.94 ms/ev trackerDrivenElectronSeeds
   +0.066910      +0.00%         6.75 ms/ev ->         7.21 ms/ev dedxDQMHarm2SP
   +0.061977      +0.00%         5.91 ms/ev ->         6.29 ms/ev JetPlusTrackZSPCorJetAntiKt4
   +0.061079      +0.03%        49.77 ms/ev ->        52.91 ms/ev ecalDrivenElectronSeeds
   +0.060232      +0.00%         7.23 ms/ev ->         7.68 ms/ev RunHPSValidationRealData
   +0.059389      +0.01%        22.51 ms/ev ->        23.89 ms/ev pfNoPileUpJMEEI
   +0.059223      +0.13%       232.29 ms/ev ->       246.47 ms/ev particleFlowBlock
   +0.059152      +0.01%        23.57 ms/ev ->        25.01 ms/ev particleFlowTmp
   +0.058969      +0.01%        22.53 ms/ev ->        23.90 ms/ev pfNoPileUpJME
   +0.058770      +0.01%        12.78 ms/ev ->        13.56 ms/ev preDuplicateMergingGeneralTracks
   +0.058101      +0.03%        62.80 ms/ev ->        66.56 ms/ev lowPtTripletStepSeeds
   +0.057631      +0.00%         8.64 ms/ev ->         9.16 ms/ev muonMETValueMapProducer
   +0.057561      +0.00%         6.11 ms/ev ->         6.47 ms/ev siPixelClusters
   +0.057484      +0.02%        37.88 ms/ev ->        40.12 ms/ev tobTecStepSeedsPair
   +0.055696      +0.01%        26.69 ms/ev ->        28.22 ms/ev pfNoPileUpIsoPFBRECO
   +0.054994      +0.01%        26.72 ms/ev ->        28.23 ms/ev pfNoPileUpEI
   +0.054062      +0.00%         6.37 ms/ev ->         6.72 ms/ev primaryVertexAssociation
   +0.053539      +0.04%        83.22 ms/ev ->        87.80 ms/ev earlyMuons
   +0.053462      +0.04%        82.74 ms/ev ->        87.29 ms/ev earlyDisplacedMuons
   +0.051489      +0.00%         6.77 ms/ev ->         7.13 ms/ev photons
   +0.050558      +0.01%        11.61 ms/ev ->        12.21 ms/ev tevMuons
   +0.050525      +0.23%       497.76 ms/ev ->       523.56 ms/ev muons1stStep
   +0.050320      +0.00%         5.09 ms/ev ->         5.36 ms/ev ecalDrivenGsfElectrons
  ---------- ------------     --------                  ----       ------------
Job total:  11.2386 s/ev ==> 11.938 s/ev

The same excluding the first 1 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.02 ms/ev bunchSpacingProducer
   -1.087297      -0.02%         3.89 ms/ev ->         1.15 ms/ev patJetCorrFactors
   -1.006438      -0.00%         0.41 ms/ev ->         0.14 ms/ev patJetCorrFactorsAK8
   -0.996240      -0.01%         1.33 ms/ev ->         0.45 ms/ev corrPfMetType1
   -0.856946      -0.01%         1.38 ms/ev ->         0.55 ms/ev ExoticaDQM
   -0.848739      -0.01%         1.08 ms/ev ->         0.44 ms/ev singleTopElectronMediumDQM
   -0.785324      -0.01%         1.23 ms/ev ->         0.54 ms/ev singleTopMuonMediumDQM
   -0.516939      -0.01%         2.38 ms/ev ->         1.41 ms/ev siPixelClusterShapeCache
   -0.516099      -0.01%         2.39 ms/ev ->         1.41 ms/ev siPixelClusterShapeCachePreSplitting
   -0.502417      -0.00%         0.91 ms/ev ->         0.55 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.502390      -0.22%        59.66 ms/ev ->        35.70 ms/ev fsqHLTOfflineSource
   +0.428072      +1.12%       228.40 ms/ev ->       352.79 ms/ev pixelLessStepTrackCandidates
   +0.401436      +0.00%         0.45 ms/ev ->         0.67 ms/ev DiMuonHLTOfflineDQM
   -0.392861      -0.01%         4.35 ms/ev ->         2.92 ms/ev jetMETHLTOfflineSource
   -0.358915      -0.00%         1.05 ms/ev ->         0.73 ms/ev patSmearedJetsResUp
   -0.358115      -0.00%         1.03 ms/ev ->         0.72 ms/ev patSmearedJetsResDown
   +0.349121      +0.01%         2.57 ms/ev ->         3.66 ms/ev tobTecStepClassifier2
   +0.331339      +0.01%         2.86 ms/ev ->         3.99 ms/ev tobTecStepClassifier1
   +0.315497      +0.07%        21.88 ms/ev ->        30.08 ms/ev tobTecStepTracks
   -0.270809      -0.00%         1.93 ms/ev ->         1.47 ms/ev muonSeededTracksInOut
   +0.232947      +0.14%        59.26 ms/ev ->        74.89 ms/ev tobTecStepSeedsTripl
   -0.227518      -0.01%         4.63 ms/ev ->         3.68 ms/ev pileupJetId
   +0.221553      +0.02%         9.24 ms/ev ->        11.55 ms/ev pixelLessStepClassifier1
   +0.213880      +0.02%         7.89 ms/ev ->         9.78 ms/ev pixelLessStepClassifier2
   +0.210020      +0.02%         8.43 ms/ev ->        10.41 ms/ev generalV0Candidates
   +0.205484      +0.15%        71.27 ms/ev ->        87.59 ms/ev pixelLessStepTracks
   +0.196301      +0.35%       180.12 ms/ev ->       219.32 ms/ev jetCoreRegionalStepTrackCandidates
   -0.188696      -0.01%         5.84 ms/ev ->         4.83 ms/ev topSingleMuonMediumDQM
   +0.178295      +0.08%        46.10 ms/ev ->        55.13 ms/ev allConversions
   +0.177840      +0.05%        30.76 ms/ev ->        36.77 ms/ev duplicateTrackCandidates
   +0.167746      +0.18%       110.07 ms/ev ->       130.22 ms/ev particleFlowDisplacedVertex
   -0.164506      -0.01%         6.14 ms/ev ->         5.21 ms/ev dt4DSegments
   -0.144879      -0.01%         5.52 ms/ev ->         4.78 ms/ev dt4DCosmicSegments
