### Short Comparison (top 10 lines) excluding the first events: CMSSW_8_0_0_pre3 vs CMSSW_8_0_0_pre4
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.947917      -0.02%         2.65 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6VLooseElectronRejection76xReMiniAOD
   -1.945184      -0.02%         2.52 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6MediumElectronRejection76xReMiniAOD
   -1.944620      -0.02%         2.49 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6VTightElectronRejection76xReMiniAOD
   -1.941594      -0.02%         2.50 ms/ev ->         0.04 ms/ev hpsPFTauDiscriminationByMVA6TightElectronRejection76xReMiniAOD
   -1.934066      -0.02%         2.51 ms/ev ->         0.04 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection76xReMiniAOD
   -1.742297      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
   -1.742297      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.741573      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.741573      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT76xReMiniAOD

### Full Comparison CMSSW_8_0_0_pre3 vs CMSSW_8_0_0_pre4 
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.947917      -0.02%         2.65 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6VLooseElectronRejection76xReMiniAOD
   -1.945184      -0.02%         2.52 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6MediumElectronRejection76xReMiniAOD
   -1.944620      -0.02%         2.49 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByMVA6VTightElectronRejection76xReMiniAOD
   -1.941594      -0.02%         2.50 ms/ev ->         0.04 ms/ev hpsPFTauDiscriminationByMVA6TightElectronRejection76xReMiniAOD
   -1.934066      -0.02%         2.51 ms/ev ->         0.04 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection76xReMiniAOD
   -1.742297      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
   -1.742297      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.741573      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.741573      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT76xReMiniAOD
   -1.738915      -0.05%         5.67 ms/ev ->         0.40 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection76xReMiniAOD
   -1.735584      -0.01%         0.66 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.735211      -0.01%         0.66 ms/ev ->         0.05 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLT76xReMiniAOD
   -1.732591      -0.00%         0.34 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.732591      -0.00%         0.34 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBnewDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBoldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWnewDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBnewDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWoldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWnewDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
   -1.731844      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBoldDMwLT76xReMiniAOD
   -1.731092      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT76xReMiniAOD
   -1.731092      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBoldDMwLT76xReMiniAOD
   -1.731092      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLT76xReMiniAOD
   -1.731092      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBnewDMwLT76xReMiniAOD
   -1.731092      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWdR03oldDMwLT76xReMiniAOD
   -1.730337      -0.00%         0.33 ms/ev ->         0.02 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
   -1.725275      -0.00%         0.34 ms/ev ->         0.03 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBdR03oldDMwLT76xReMiniAOD
