### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0 vs CMSSW_8_0_0_pre1
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.060576      +0.00%         5.96 ms/ev ->         6.33 ms/ev TrackSeedMondetachedTripletStep
   +0.060511      +0.00%         5.56 ms/ev ->         5.91 ms/ev TrackSeedMoninitialStep
   -0.060399      -0.02%        32.88 ms/ev ->        30.96 ms/ev pfNoPileUpIsoPFBRECO
   -0.059902      -0.02%        32.89 ms/ev ->        30.98 ms/ev pfNoPileUpEI
   -0.054209      -0.02%        43.63 ms/ev ->        41.33 ms/ev MINIAODSIMoutput
   -0.053301      -0.03%        62.73 ms/ev ->        59.48 ms/ev combinatoricRecoTaus
   -0.053292      -0.03%        62.46 ms/ev ->        59.21 ms/ev pfTausCombiner
   +0.051279      +0.01%        16.04 ms/ev ->        16.88 ms/ev pfImpactParameterTagInfos
   -0.050950      -0.01%        21.09 ms/ev ->        20.05 ms/ev gedPhotonsTmp
   +0.050391      +0.01%        12.28 ms/ev ->        12.92 ms/ev TrackSeedMonpixelPairStep
   -0.050370      -0.01%        27.78 ms/ev ->        26.42 ms/ev pfNoPileUpJMEEI
  ---------- ------------     --------                  ----       ------------
Job total:  12.0821 s/ev ==> 11.7215 s/ev

The same excluding the first 1 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -0.650952      -0.04%        10.95 ms/ev ->         5.57 ms/ev mergedDuplicateTracks
   -0.565000      -0.16%        43.91 ms/ev ->        24.57 ms/ev duplicateTrackCandidates
   -0.494778      -0.00%         1.00 ms/ev ->         0.60 ms/ev uncleanedOnlyConversionTrackCandidates
   -0.482743      -0.11%        32.83 ms/ev ->        20.06 ms/ev tobTecStepTracks
   -0.473412      -0.01%         4.64 ms/ev ->         2.87 ms/ev tobTecStepClassifier1
   -0.472789      -0.01%         4.32 ms/ev ->         2.67 ms/ev tobTecStepClassifier2
   -0.319922      -0.03%        13.75 ms/ev ->         9.96 ms/ev generalTracks
   -0.254449      -0.00%         1.37 ms/ev ->         1.06 ms/ev muonSeededTrackCandidatesOutInDisplaced
   -0.221037      -0.15%        92.12 ms/ev ->        73.78 ms/ev pixelLessStepTracks
   +0.217542      +0.01%         4.68 ms/ev ->         5.83 ms/ev topSingleElectronHLTOfflineDQM
   -0.211208      -0.46%       286.32 ms/ev ->       231.62 ms/ev tobTecStepTrackCandidates
   -0.192253      -0.02%        11.17 ms/ev ->         9.21 ms/ev convStepTracks
   -0.185136      -0.02%        11.42 ms/ev ->         9.48 ms/ev pixelLessStepClassifier2
   -0.183730      -0.02%        13.14 ms/ev ->        10.93 ms/ev pixelLessStepClassifier1
   -0.162869      -0.01%        11.69 ms/ev ->         9.93 ms/ev generalV0Candidates
