Checking process _RECO CMSSW_8_0_0_pre5/src/TimeMemory/step3.root and CMSSW_8_0_0_pre6/src/TimeMemory/step3.root (if above 100 or 20%):
-------------------------------------------------------------
 or, B       new, B      delta, B   delta, %   deltaJ, %    branch 
       18 ->           0        -18     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVTightIsolationMVA3newDMwoLT__RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT__RECO.
     6391 ->        6651        260      4.0   0.01     edmErrorSummaryEntrys_logErrorHarvester__RECO.
        0 ->          17         17     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT__RECO.
        0 ->          13         13     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw_category_RECO.
    67762 ->       65830      -1932     -2.9  -0.09     recoPFClusters_particleFlowClusterPS__RECO.
    10053 ->        9789       -264     -2.7  -0.01     EcalRecHitsSorted_reducedEcalRecHitsEE__RECO.
        0 ->          13         13     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw_category_RECO.
   104961 ->      101684      -3277     -3.2  -0.16     recoTracks_generalTracks__RECO.
     2137 ->        2033       -104     -5.0  -0.01     recoPreshowerClusters_multi5x5SuperClustersWithPreshower_preshowerYClusters_RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWdR03oldDMwLT__RECO.
     1164 ->        1049       -115    -10.4  -0.01     recoSuperClusters_particleFlowSuperClusterECAL_particleFlowSuperClusterECALEndcapWithPreshower_RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT__RECO.
    62279 ->       60389      -1890     -3.1  -0.09     recoPFBlocks_particleFlowBlock__RECO.
        0 ->          62         62     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauNeutralIsoPtSumWeightdR03__RECO.
        0 ->          15         15     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWnewDMwLT__RECO.
        0 ->          48         48     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauPhotonPtSumOutsideSignalConedR03__RECO.
       83 ->           0        -83     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVA3newDMwoLTraw__RECO.
     3213 ->        3079       -134     -4.3  -0.01     recoPFTaus_hpsPFTauProducer__RECO.
    54734 ->       54093       -641     -1.2  -0.03     EcalRecHitsSorted_ecalRecHit_EcalRecHitsEB_RECO.
        0 ->          17         17     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBoldDMwLT__RECO.
        0 ->          84         84     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauPUcorrPtSumdR03__RECO.
        0 ->          16         16     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBoldDMwLT__RECO.
        0 ->          15         15     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLT__RECO.
    96652 ->       93858      -2794     -2.9  -0.14     TrackingRecHitsOwned_generalTracks__RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByTightIsolationMVArun2v1DBdR03oldDMwLT__RECO.
     7628 ->        7440       -187     -2.5  -0.01     recoPFJets_ak4PFJetsCHS__RECO.
       18 ->           0        -18     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByLooseIsolationMVA3newDMwoLT__RECO.
    78200 ->       77226       -974     -1.3  -0.05     CaloTowersSorted_towerMaker__RECO.
       18 ->           0        -18     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVLooseIsolationMVA3newDMwoLT__RECO.
     1061 ->        1553        492     37.6   0.02     recoPFTauTransverseImpactParameters_hpsPFTauTransverseImpactParameters_PFTauTIP_RECO.
   491478 ->      483515      -7963     -1.6  -0.39     SiStripClusteredmNewDetSetVector_siStripClusters__RECO.
        0 ->          62         62     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw__RECO.
       13 ->           0        -13     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVA3newDMwoLTraw_category_RECO.
        0 ->          61         61     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw__RECO.
       18 ->          14         -4    -22.4  -0.00     recoTrackExtras_uncleanedOnlyCkfInOutTracksFromConversions__RECO.
        0 ->          83         83     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMVA6rawElectronRejection__RECO.
        0 ->          17         17     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBdR03oldDMwLT__RECO.
    77901 ->       76480      -1421     -1.8  -0.07     recoPFCandidates_particleFlow__RECO.
       18 ->           0        -18     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVA3newDMwoLT__RECO.
        0 ->          87         87     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw__RECO.
        0 ->          83         83     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauNeutralIsoPtSumWeight__RECO.
   116373 ->      114957      -1416     -1.2  -0.07     EcalRecHitsSorted_ecalPreshowerRecHit_EcalRecHitsES_RECO.
        0 ->          17         17     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWoldDMwLT__RECO.
        0 ->          19         19     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMVA6VTightElectronRejection__RECO.
        0 ->          57         57     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauChargedIsoPtSumdR03__RECO.
     7620 ->        7433       -188     -2.5  -0.01     recoPFJets_pfJetsEI__RECO.
        0 ->          14         14     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT__RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT__RECO.
        0 ->          13         13     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw_category_RECO.
       61 ->           0        -61     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVA3oldDMwoLTraw__RECO.
        0 ->          16         16     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT__RECO.
     9484 ->        9255       -229     -2.4  -0.01     recoTrackExtrapolations_trackExtrapolator__RECO.
        0 ->          86         86     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw__RECO.
        0 ->          13         13     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw_category_RECO.
        0 ->          17         17     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByTightIsolationMVArun2v1PWnewDMwLT__RECO.
        0 ->          16         16     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBdR03oldDMwLT__RECO.
        0 ->          63         63     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw__RECO.
    11326 ->       11106       -220     -2.0  -0.01     EcalRecHitsSorted_reducedEcalRecHitsEB__RECO.
    46192 ->       46047       -145     -0.3  -0.01     HBHERecHitsSorted_hbheprereco__RECO.
     3485 ->        3370       -115     -3.4  -0.01     floats_generalTracks_MVAValues_RECO.
        0 ->          19         19     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT__RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMVA6LooseElectronRejection__RECO.
     4660 ->        4512       -147     -3.2  -0.01     recoDeDxDataedmValueMap_dedxHarmonic2__RECO.
     6896 ->        6683       -213     -3.1  -0.01     recoCaloClusters_multi5x5SuperClusters_multi5x5EndcapBasicClusters_RECO.
        0 ->          23         23     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauFootprintCorrection__RECO.
        0 ->          13         13     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw_category_RECO.
   186911 ->      180920      -5991     -3.3  -0.29     recoTrackExtras_generalTracks__RECO.
       13 ->           0        -13     OLDO  -0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVA3oldDMwoLTraw_category_RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWnewDMwLT__RECO.
        0 ->          63         63     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw__RECO.
     2894 ->        2752       -142     -5.0  -0.01     EcalRecHitsSorted_reducedEcalRecHitsES__RECO.
     3172 ->        3012       -161     -5.2  -0.01     recoTracks_conversionStepTracks__RECO.
    96884 ->       94114      -2771     -2.9  -0.14     SiPixelClusteredmNewDetSetVector_siPixelClusters__RECO.
       95 ->          77        -19    -21.8  -0.00     recoHcalHaloData_HcalHaloData__RECO.
        0 ->          19         19     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWnewDMwLT__RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLT__RECO.
        0 ->          16         16     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT__RECO.
        0 ->          24         24     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByMVA6rawElectronRejection_category_RECO.
        0 ->          18         18     NEWO   0.00     recoPFTauDiscriminator_hpsPFTauDiscriminationByTightIsolationMVArun2v1DBnewDMwLT__RECO.
     9559 ->        9285       -274     -2.9  -0.01     recoPFCandidateedmFwdPtrs_particleFlowTmpPtrs__RECO.
-------------------------------------------------------------
  2036882 ->     1999016     -37867            -1.9     ALL BRANCHES
