### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_5_0_pre5 vs CMSSW_7_5_0_pre4
The same excluding the first event 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.773462      +0.59%         4.73 ms/ev ->        78.84 ms/ev mixedTripletStepSeedsA
   -1.638663      -1.22%       168.59 ms/ev ->        16.74 ms/ev initialStepSelector
   -1.591781      -0.01%         0.92 ms/ev ->         0.10 ms/ev pfIsolatedMuonsEI
   -1.532852      -0.76%       108.92 ms/ev ->        14.40 ms/ev detachedTripletStepSelector
   -1.404780      -0.44%        66.72 ms/ev ->        11.66 ms/ev pixelLessStepSelector
   -1.384944      -0.26%        40.10 ms/ev ->         7.29 ms/ev lowPtTripletStepSelector
   -1.341287      -0.20%        31.58 ms/ev ->         6.23 ms/ev mixedTripletStepSelector
   -1.329010      -0.47%        74.28 ms/ev ->        14.97 ms/ev pixelPairStepSelector
   +1.286546      +0.00%         0.03 ms/ev ->         0.12 ms/ev pfIsolatedElectronsEI
   -1.151092      -0.08%        13.94 ms/ev ->         3.76 ms/ev tobTecStepSelector

### Full Comparison CMSSW_7_5_0_pre5 vs CMSSW_7_5_0_pre4 
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.773122      +0.59%         4.74 ms/ev ->        78.80 ms/ev mixedTripletStepSeedsA
   +1.743537      +0.01%         0.06 ms/ev ->         0.91 ms/ev hpsPFTauDiscriminationByLooseIsolationMVA3oldDMwoLT
   +1.640648      +0.00%         0.06 ms/ev ->         0.62 ms/ev hpsPFTauDiscriminationByMediumIsolationMVA3oldDMwLT
   -1.638536      -1.20%       168.89 ms/ev ->        16.78 ms/ev initialStepSelector
   +1.592493      +0.00%         0.08 ms/ev ->         0.67 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVA3oldDMwLT
   -1.592157      -0.01%         0.92 ms/ev ->         0.10 ms/ev pfIsolatedMuonsEI
   -1.532481      -0.75%       108.92 ms/ev ->        14.42 ms/ev detachedTripletStepSelector
   -1.510309      -0.00%         0.68 ms/ev ->         0.10 ms/ev castorDigis
   -1.419072      -0.45%        68.70 ms/ev ->        11.67 ms/ev pixelLessStepSelector
   +1.392405      +0.00%         0.06 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByLooseIsolationMVA3newDMwoLT
   -1.382935      -0.26%        40.10 ms/ev ->         7.32 ms/ev lowPtTripletStepSelector
   +1.375959      +0.00%         0.06 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByLooseIsolationMVA3oldDMwLT
   -1.363934      -0.00%         0.51 ms/ev ->         0.10 ms/ev muonDTDigis
   -1.344352      -0.20%        31.82 ms/ev ->         6.24 ms/ev mixedTripletStepSelector
   -1.343041      -0.49%        76.22 ms/ev ->        14.98 ms/ev pixelPairStepSelector
   +1.278752      +0.01%         0.37 ms/ev ->         1.68 ms/ev hpsPFTauDiscriminationByMVA5VTightElectronRejection
   +1.213759      +0.00%         0.08 ms/ev ->         0.33 ms/ev hpsPFTauDiscriminationByMVATightMuonRejection
   -1.150211      -0.08%        13.98 ms/ev ->         3.77 ms/ev tobTecStepSelector
   +1.082569      +0.00%         0.10 ms/ev ->         0.34 ms/ev hpsPFTauDiscriminationByMVAMediumMuonRejection
   +1.047516      +0.01%         0.44 ms/ev ->         1.41 ms/ev hpsPFTauDiscriminationByMVA5MediumElectronRejection
