### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_4_0_pre4 vs CMSSW_7_4_0_pre3
The same excluding the first event 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +0.762345      +0.00%         0.50 ms/ev ->         1.11 ms/ev logErrorHarvester
   +0.751397      +0.08%         8.75 ms/ev ->        19.27 ms/ev recoTauAK4PFJets08Region
   +0.744554      +0.08%         8.78 ms/ev ->        19.19 ms/ev pfTauPFJets08Region
   +0.530983      +0.00%         0.59 ms/ev ->         1.01 ms/ev l1L1GtObjectMap
   -0.279407      -0.01%         2.68 ms/ev ->         2.02 ms/ev reducedEcalRecHitsEB
   -0.265268      -0.01%         3.40 ms/ev ->         2.60 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.261454      -0.00%         2.19 ms/ev ->         1.68 ms/ev reducedEcalRecHitsEE
   +0.247135      +0.01%         2.53 ms/ev ->         3.24 ms/ev interestingGamIsoDetIdEB
   +0.245276      +0.01%         3.56 ms/ev ->         4.56 ms/ev interestingGedGamIsoDetIdEB
   -0.236605      -0.00%         0.66 ms/ev ->         0.52 ms/ev initialStepTrackRefsForJetsPreSplitting

### Full Comparison CMSSW_7_4_0_pre4 vs CMSSW_7_4_0_pre3 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +0.763636      +0.00%         0.49 ms/ev ->         1.10 ms/ev logErrorHarvester
   +0.750036      +0.08%         8.74 ms/ev ->        19.22 ms/ev recoTauAK4PFJets08Region
   +0.745238      +0.08%         8.76 ms/ev ->        19.17 ms/ev pfTauPFJets08Region
   +0.638446      +0.01%         1.17 ms/ev ->         2.27 ms/ev siStripZeroSuppression
   +0.528278      +0.00%         0.59 ms/ev ->         1.02 ms/ev l1L1GtObjectMap
   -0.281450      -0.01%         2.67 ms/ev ->         2.01 ms/ev reducedEcalRecHitsEB
   -0.265133      -0.01%         3.40 ms/ev ->         2.60 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.261275      -0.00%         2.18 ms/ev ->         1.68 ms/ev reducedEcalRecHitsEE
   +0.247308      +0.01%         2.52 ms/ev ->         3.23 ms/ev interestingGamIsoDetIdEB
   +0.245562      +0.01%         3.56 ms/ev ->         4.55 ms/ev interestingGedGamIsoDetIdEB
   -0.236596      -0.00%         0.66 ms/ev ->         0.52 ms/ev initialStepTrackRefsForJetsPreSplitting
   -0.235995      -0.01%         3.66 ms/ev ->         2.89 ms/ev generalConversionStepConversionTrackMerger
   +0.233027      +0.00%         2.02 ms/ev ->         2.55 ms/ev interestingGedEleIsoDetIdEB
   -0.219001      -0.08%        53.66 ms/ev ->        43.07 ms/ev particleFlowClusterECAL
   +0.213838      +0.06%        32.69 ms/ev ->        40.52 ms/ev ak4JetTracksAssociatorAtVertexJPT
