### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_4_0_pre5 vs CMSSW_7_4_0_pre4
The same excluding the first event 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -0.763890      -0.01%         1.11 ms/ev ->         0.50 ms/ev logErrorHarvester
   -0.714314      -0.08%        18.46 ms/ev ->         8.75 ms/ev recoTauAK4PFJets08Region
   -0.710236      -0.08%        18.44 ms/ev ->         8.78 ms/ev pfTauPFJets08Region
   -0.529359      -0.00%         1.01 ms/ev ->         0.59 ms/ev l1L1GtObjectMap
   +0.282421      +0.01%         2.02 ms/ev ->         2.68 ms/ev reducedEcalRecHitsEB
   +0.271603      +0.01%         2.58 ms/ev ->         3.40 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   +0.259515      +0.00%         1.68 ms/ev ->         2.19 ms/ev reducedEcalRecHitsEE
   +0.242888      +0.01%         2.87 ms/ev ->         3.66 ms/ev generalConversionStepConversionTrackMerger
   -0.242231      -0.01%         3.22 ms/ev ->         2.53 ms/ev interestingGamIsoDetIdEB
   -0.241594      -0.01%         4.54 ms/ev ->         3.56 ms/ev interestingGedGamIsoDetIdEB

### Full Comparison CMSSW_7_4_0_pre5 vs CMSSW_7_4_0_pre4 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -0.765185      -0.01%         1.10 ms/ev ->         0.49 ms/ev logErrorHarvester
   -0.714443      -0.08%        18.45 ms/ev ->         8.74 ms/ev recoTauAK4PFJets08Region
   -0.711044      -0.08%        18.43 ms/ev ->         8.76 ms/ev pfTauPFJets08Region
   -0.619230      -0.01%         2.23 ms/ev ->         1.17 ms/ev siStripZeroSuppression
   -0.525529      -0.00%         1.01 ms/ev ->         0.59 ms/ev l1L1GtObjectMap
   +0.282423      +0.01%         2.01 ms/ev ->         2.67 ms/ev reducedEcalRecHitsEB
   +0.275377      +0.01%         2.57 ms/ev ->         3.40 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   +0.258933      +0.00%         1.68 ms/ev ->         2.18 ms/ev reducedEcalRecHitsEE
   +0.242842      +0.01%         2.87 ms/ev ->         3.66 ms/ev generalConversionStepConversionTrackMerger
   -0.242424      -0.01%         3.22 ms/ev ->         2.52 ms/ev interestingGamIsoDetIdEB
   -0.241878      -0.01%         4.54 ms/ev ->         3.56 ms/ev interestingGedGamIsoDetIdEB
   +0.238501      +0.00%         0.52 ms/ev ->         0.66 ms/ev initialStepTrackRefsForJetsPreSplitting
   +0.236088      +0.00%         0.52 ms/ev ->         0.66 ms/ev initialStepTrackRefsForJets
   -0.225253      -0.00%         2.53 ms/ev ->         2.02 ms/ev interestingGedEleIsoDetIdEB
   +0.224313      +0.09%        42.84 ms/ev ->        53.66 ms/ev particleFlowClusterECAL
   +0.219727      +0.00%         0.56 ms/ev ->         0.69 ms/ev globalCosmicMuons
   -0.209582      -0.06%        40.34 ms/ev ->        32.69 ms/ev ak4JetTracksAssociatorAtVertexJPT
   -0.206279      -0.08%        52.00 ms/ev ->        42.28 ms/ev JetPlusTrackZSPCorJetAntiKt4
   +0.177673      +0.51%       312.44 ms/ev ->       373.37 ms/ev regionalCosmicCkfTrackCandidates
   +0.154364      +0.01%         7.95 ms/ev ->         9.28 ms/ev ghostTrackVertexTagInfos
   +0.148662      +0.19%       139.75 ms/ev ->       162.19 ms/ev convTrackCandidates
   +0.146516      +0.02%        16.30 ms/ev ->        18.88 ms/ev pfNoJetEI
   +0.146475      +0.03%        20.04 ms/ev ->        23.20 ms/ev inclusiveCandidateVertexFinder
   +0.144466      +0.01%         6.34 ms/ev ->         7.33 ms/ev pfRecoTauTagInfoProducer
   +0.143108      +0.01%         6.34 ms/ev ->         7.32 ms/ev pfTauTagInfoProducer
   +0.139842      +0.01%         5.07 ms/ev ->         5.83 ms/ev newCombinedSeeds
   +0.139715      +0.02%        19.41 ms/ev ->        22.33 ms/ev inclusiveVertexFinder
   -0.139213      -0.02%        17.95 ms/ev ->        15.61 ms/ev siPixelClustersPreSplitting
   +0.136488      +0.07%        55.81 ms/ev ->        63.98 ms/ev siStripMatchedRecHits
   +0.135811      +0.01%         4.71 ms/ev ->         5.40 ms/ev siPixelRecHits
   +0.135038      +0.06%        51.41 ms/ev ->        58.85 ms/ev stripPairElectronSeeds
   +0.132670      +0.04%        33.99 ms/ev ->        38.82 ms/ev mixedTripletStepSeedsB
   +0.131980      +0.06%        54.10 ms/ev ->        61.75 ms/ev firstStepPrimaryVerticesPreSplitting
   +0.128555      +0.16%       136.42 ms/ev ->       155.16 ms/ev conversionTrackCandidates
   +0.128173      +0.07%        61.80 ms/ev ->        70.27 ms/ev duplicateTrackCandidates
   +0.127237      +0.01%         7.64 ms/ev ->         8.68 ms/ev uncleanedOnlyPfTrack
   +0.125594      +0.01%        12.51 ms/ev ->        14.19 ms/ev siStripDigis
   +0.124665      +0.17%       154.23 ms/ev ->       174.73 ms/ev offlinePrimaryVertices
   -0.124604      -0.02%        19.62 ms/ev ->        17.32 ms/ev multi5x5SuperClustersWithPreshower
   +0.124437      +0.01%         4.79 ms/ev ->         5.43 ms/ev siPixelRecHitsPreSplitting
   +0.123525      +0.02%        17.05 ms/ev ->        19.30 ms/ev candidateVertexArbitrator
   +0.122449      +0.01%         5.57 ms/ev ->         6.29 ms/ev dedxHarmonic2
   +0.122388      +0.02%        17.66 ms/ev ->        19.96 ms/ev trackVertexArbitrator
   +0.122112      +0.05%        42.21 ms/ev ->        47.70 ms/ev hpsPFTauPrimaryVertexProducer
