### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_4_0_pre6 vs CMSSW_7_4_0_pre5
The same excluding the first event 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -0.871764      -2.88%        33.86 ms/ev ->        13.30 ms/ev prunedGenParticlesWithStatusOne
   +0.807042      +0.11%         0.58 ms/ev ->         1.37 ms/ev patJetCorrFactorsAK8
   +0.728027      +3.38%        21.07 ms/ev ->        45.19 ms/ev NjettinessAK8
   +0.698785      +0.30%         1.97 ms/ev ->         4.09 ms/ev patJetFlavourAssociationAK8
   -0.511173      -0.06%         1.05 ms/ev ->         0.62 ms/ev reducedEgamma
   -0.489005      -0.21%         3.85 ms/ev ->         2.34 ms/ev patJetPartonMatchAK4PFForMetUnc
   +0.424629      +1.14%        15.06 ms/ev ->        23.17 ms/ev pileupJetId
   +0.408255      +0.21%         2.90 ms/ev ->         4.39 ms/ev ak8PFJetsCHSPruned
   +0.405195      +0.09%         1.23 ms/ev ->         1.86 ms/ev patJetsAK8
   +0.400221      +0.20%         2.81 ms/ev ->         4.22 ms/ev ak8PFJetsCHSSoftDrop

### Full Comparison CMSSW_7_4_0_pre6 vs CMSSW_7_4_0_pre5 
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -0.870975      -2.88%        33.83 ms/ev ->        13.31 ms/ev prunedGenParticlesWithStatusOne
   +0.803681      +0.11%         0.58 ms/ev ->         1.37 ms/ev patJetCorrFactorsAK8
   +0.771028      +0.09%         0.53 ms/ev ->         1.19 ms/ev patJetsAK8
   +0.727995      +3.38%        21.05 ms/ev ->        45.13 ms/ev NjettinessAK8
   +0.699305      +0.30%         1.97 ms/ev ->         4.08 ms/ev patJetFlavourAssociationAK8
   -0.488169      -0.21%         3.84 ms/ev ->         2.33 ms/ev patJetPartonMatchAK4PFForMetUnc
   +0.407916      +0.21%         2.90 ms/ev ->         4.38 ms/ev ak8PFJetsCHSPruned
   +0.403764      +0.20%         2.80 ms/ev ->         4.21 ms/ev ak8PFJetsCHSSoftDrop
   +0.394699      +1.14%        16.53 ms/ev ->        24.66 ms/ev pileupJetId
   -0.306085      -0.03%         0.94 ms/ev ->         0.69 ms/ev muPFIsoDepositGammaPAT
   -0.299919      -0.10%         2.82 ms/ev ->         2.09 ms/ev muPFIsoDepositPUPAT
   +0.295385      +0.07%         1.39 ms/ev ->         1.86 ms/ev selectedPatJetsForMETtype1p2CorrOriginalReserved
   -0.246575      -0.03%         0.82 ms/ev ->         0.64 ms/ev reducedEgamma
   -0.234017      -0.03%         0.93 ms/ev ->         0.73 ms/ev patMuons
